Collection Site,Species,Generation,Host plant,State,Harvest.date,Emergence.date,Emergent.animal.type,Alive.dead,N,Entered.by.,H.julian,E.julian,Latitude,Longitude,Year
Alva,A. atra,asexual,Qv,FL,4/23/17,5/12/17,fly,dead,1,MJ,113,497,26.7092,-81.6154,2016
Alva,A. lanigera,asexual,Qg,FL,11/18/17,3/23/18,cynipid,dead,1,EH,322,447,26.7092,-81.6154,2017
Alva,A. lanigera,asexual,Qg,FL,11/18/17,2/28/18,synergist,dead,1,EH,322,424,26.7092,-81.6154,2017
Alva,A. lanigera,asexual,Qv,FL,11/18/17,2/28/18,synergist,alive,1,EH,322,424,26.7092,-81.6154,2017
Alva,A. atra,asexual,Qv,FL,4/23/17,5/12/17,fly,alive,1,MJ,113,497,26.7092,-81.6154,2016
Alva,A. lanigera,asexual,Qg,FL,11/18/17,2/28/18,cynipid,alive,1,EH,322,424,26.7092,-81.6154,2017
Alva,A. lanigera,asexual,Qv,FL,11/18/17,3/28/18,synergist,dead,1,EH,322,452,26.7092,-81.6154,2017
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,12/23/17,cynipid,dead,3,LZ,346,357,30.59949,-81.44547,2017
Amelia island,A. atra,NA,Qv,FL,12/12/17,3/19/18,fly,dead,1,EH,346,443,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/8/18,cynipid,alive,2,EH,346,432,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,12/23/17,cynipid,alive,1,LZ,346,357,30.59949,-81.44547,2017
Amelia island,A. atra,NA,Qv,FL,12/12/17,4/2/18,fly,dead,1,EH,346,457,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,1/4/18,cynipid,alive,2,LZ,346,369,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,12/26/17,cynipid,alive,3,IC,346,360,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,12/23/17,cynipid,alive,4,LZ,346,357,30.59949,-81.44547,2017
Amelia island,A. lanigera,asexual,Qv,FL,12/12/17,2/8/18,synergist,alive,1,LZ,346,404,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/5/18,cynipid,alive,1,EH,346,429,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/12/18,cynipid,alive,2,EH,346,436,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,3/19/18,cynipid,alive,1,EH,346,443,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/12/18,cynipid,dead,2,EH,346,436,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/8/18,cynipid,dead,1,EH,346,432,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,12/23/17,cynipid,alive,3,LZ,346,357,30.59949,-81.44547,2017
Amelia island,A. atra,NA,Qv,FL,12/12/17,3/19/18,fly,alive,1,EH,346,443,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,3/15/18,cynipid,alive,1,EH,346,439,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/1/18,cynipid,alive,5,EH,346,425,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/19/18,cynipid,alive,1,EH,346,443,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/5/18,cynipid,dead,2,EH,346,429,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/1/18,cynipid,dead,1,EH,346,425,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,12/26/17,cynipid,alive,1,IC,346,360,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qv,FL,12/12/17,3/5/18,cynipid,alive,2,EH,346,429,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,11/2/18,1/14/19,cynipid,dead,2,LZ,306,379,30.59949,-81.44547,2018
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,1/1/18,cynipid,alive,2,IC,346,366,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/8/18,cynipid,alive,8,EH,346,432,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,12/26/17,cynipid,dead,3,IC,346,360,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,3/19/18,cynipid,dead,1,EH,346,443,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/15/18,cynipid,alive,1,EH,346,439,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,3/22/18,cynipid,alive,1,EH,346,446,30.59949,-81.44547,2017
Amelia island,A. lanigera,asexual,Qv,FL,12/12/17,2/16/18,cynipid,alive,1,LZ,346,412,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qv,FL,10/28/16,2/6/17,cynipid,dead,1,MJ,302,402,30.59949,-81.44547,2016
Amelia island,A. atra,NA,Qv,FL,12/12/17,3/22/18,fly,dead,2,EH,346,446,30.59949,-81.44547,2017
Amelia island,A. lanigera,asexual,Qv,FL,12/12/17,2/8/18,cynipid,alive,1,LZ,346,404,30.59949,-81.44547,2017
Amelia island,A. atra,NA,Qv,FL,12/12/17,3/12/18,fly,alive,1,EH,346,436,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,3/12/18,cynipid,alive,2,EH,346,436,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,3/12/18,cynipid,dead,1,EH,346,436,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/5/18,cynipid,alive,9,EH,346,429,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,12/29/17,cynipid,alive,1,LZ,346,363,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,4/20/18,cynipid,dead,1,EH,346,475,30.59949,-81.44547,2017
Amelia island,A. lanigera,asexual,Qv,FL,12/12/17,2/26/18,synergist,alive,2,EH,346,422,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/19/18,cynipid,dead,1,EH,346,443,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,12/26/17,cynipid,dead,1,IC,346,360,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,1/15/18,cynipid,alive,2,LZ,346,380,30.59949,-81.44547,2017
Amelia island,A. lanigera,asexual,Qv,FL,12/12/17,2/19/18,synergist,alive,2,AR,346,415,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,2/22/18,cynipid,dead,1,AR,346,418,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,12/27/17,cynipid,dead,1,LZ,346,361,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/12/18,cynipid,dead,7,EH,346,436,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,3/1/18,cynipid,alive,2,EH,346,425,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,12/29/17,cynipid,alive,7,LZ,346,363,30.59949,-81.44547,2017
Amelia island,A. lanigera,asexual,Qv,FL,12/12/17,2/22/18,synergist,alive,3,EH,346,418,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qv,FL,10/28/16,1/18/17,cynipid,alive,1,LZ,302,383,30.59949,-81.44547,2016
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,1/1/18,cynipid,alive,1,IC,346,366,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/12/18,cynipid,alive,2,EH,346,436,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qg,FL,12/12/17,3/19/18,cynipid,alive,3,EH,346,443,30.59949,-81.44547,2017
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/27/18,cynipid,alive,5,EH,346,451,29.878471,-81.281101,2017
Anastasia SP,A. foliatus,asexual,Qv,FL,12/12/17,3/1/18,cynipid,alive,1,EH,346,425,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,5/7/18,fly,alive,1,EH,346,492,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,5/3/18,fly,alive,7,EH,346,488,29.878471,-81.281101,2017
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/8/18,cynipid,alive,2,EH,346,432,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,12/26/18,cynipid,alive,1,LZ,306,360,29.878471,-81.281101,2018
Anastasia SP,A. foliatus,asexual,Qv,FL,12/12/17,3/12/18,cynipid,dead,2,EH,346,436,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,12/12/17,3/19/18,cynipid,dead,1,EH,346,443,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/2/19,cynipid,dead,1,LZ,306,367,29.878471,-81.281101,2018
Anastasia SP,A. foliatus,asexual,Qv,FL,12/12/17,3/22/18,cynipid,alive,1,EH,346,446,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qv,FL,12/12/17,3/5/18,fly,alive,1,EH,346,429,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,12/24/18,cynipid,alive,2,LZ,306,358,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/12/18,cynipid,alive,8,EH,346,436,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qv,FL,12/12/17,3/5/18,fly,dead,1,EH,346,429,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,11/2/18,2/20/19,cynipid,dead,1,LZ,306,416,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/19/18,cynipid,dead,1,EH,346,443,29.878471,-81.281101,2017
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/5/18,cynipid,alive,2,EH,346,429,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/4/19,cynipid,alive,3,LZ,306,369,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,4/5/18,cynipid,dead,2,EH,346,460,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,11/2/18,1/30/19,cynipid,alive,2,LZ,306,395,29.878471,-81.281101,2018
Anastasia SP,A. lanigera,asexual,Qv,FL,12/12/17,2/19/18,synergist,alive,1,AR,346,415,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,12/12/17,1/1/18,cynipid,alive,1,IC,346,366,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,5/3/18,fly,dead,25,EH,346,488,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,11/2/18,2/20/19,cynipid,alive,1,LZ,306,416,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,12/19/18,cynipid,alive,3,LZ,306,353,29.878471,-81.281101,2018
Anastasia SP,A. foliatus,asexual,Qv,FL,12/12/17,3/19/18,cynipid,alive,2,EH,346,443,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/14/19,cynipid,alive,3,LZ,306,379,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,3/27/18,cynipid,dead,1,EH,346,451,29.878471,-81.281101,2017
Anastasia SP,A. foliatus,asexual,Qg,FL,12/12/17,4/12/18,cynipid,alive,2,EH,346,467,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,11/2/18,1/28/19,cynipid,alive,1,LZ,306,393,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/14/19,cynipid,dead,7,LZ,306,379,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/5/18,cynipid,alive,18,EH,346,429,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/9/19,cynipid,dead,1,LZ,306,374,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,12/26/18,cynipid,alive,1,LZ,306,360,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,3/5/18,cynipid,alive,2,EH,346,429,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,5/3/18,fly,dead,1,EH,346,488,29.878471,-81.281101,2017
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/1/18,cynipid,alive,1,EH,346,425,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/7/19,cynipid,alive,2,LZ,306,372,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/2/19,cynipid,alive,1,LZ,306,367,29.878471,-81.281101,2018
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,3/27/18,fly,dead,2,EH,346,451,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,3/22/18,fly,alive,2,EH,346,446,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qv,FL,11/2/18,12/10/18,cynipid,alive,1,CD,306,344,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,3/19/18,cynipid,alive,8,EH,346,443,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,5/7/18,fly,dead,1,EH,346,492,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,12/31/18,cynipid,alive,1,LZ,306,365,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,5/3/18,cynipid,alive,1,EH,346,488,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/11/19,cynipid,alive,1,LZ,306,376,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,3/19/18,cynipid,dead,2,EH,346,443,29.878471,-81.281101,2017
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,3/27/18,cynipid,alive,1,EH,346,451,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,11/2/18,2/1/19,cynipid,alive,1,LZ,306,397,29.878471,-81.281101,2018
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,5/14/18,fly,dead,6,EH,346,499,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,12/26/18,cynipid,dead,1,LZ,306,360,29.878471,-81.281101,2018
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,5/14/18,fly,alive,2,EH,346,499,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,11/2/18,2/4/19,cynipid,alive,1,LZ,306,400,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,12/31/18,cynipid,alive,1,LZ,306,365,29.878471,-81.281101,2018
Anastasia SP,C. batatoides,asexual,Qv,FL,12/12/17,5/3/18,cynipid,dead,1,EH,346,488,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qv,FL,12/12/17,4/27/18,fly,alive,1,EH,346,482,29.878471,-81.281101,2017
Anastasia SP,A. atra,NA,Qg,FL,12/12/17,3/19/18,fly,dead,5,EH,346,443,29.878471,-81.281101,2017
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,3/19/18,cynipid,alive,5,EH,346,443,29.878471,-81.281101,2017
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,3/12/18,cynipid,alive,1,EH,346,436,29.878471,-81.281101,2017
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/11/19,cynipid,dead,3,LZ,306,376,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/18/19,cynipid,dead,1,LZ,306,383,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qv,FL,11/2/18,1/28/19,cynipid,dead,1,LZ,306,393,29.878471,-81.281101,2018
Anastasia SP,A. lanigera,asexual,Qv,FL,11/2/18,1/21/19,cynipid,alive,1,LZ,306,386,29.878471,-81.281101,2018
Anastasia SP,D. q. virens,asexual,Qg,FL,11/2/18,1/9/19,cynipid,alive,3,LZ,306,374,29.878471,-81.281101,2018
Anastasia SP,A. atra,NA,Qv,FL,12/12/17,5/7/18,fly,dead,1,EH,346,492,29.878471,-81.281101,2017
Anastasia SP,C. batatoides,asexual,Qg,FL,12/12/17,3/1/18,cynipid,alive,1,EH,346,425,29.878471,-81.281101,2017
Anastasia SP,A. lanigera,asexual,Qg,FL,11/2/18,2/11/19,cynipid,alive,1,LZ,306,407,29.878471,-81.281101,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,11/17/17,12/29/17,cynipid,alive,10,IC,321,363,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/16/18,cynipid,alive,2,EH,348,471,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,4/2/18,synergist,dead,2,EH,348,457,27.18462,-81.35211,2017
Archbold biological station,A. atra,NA,Qg,FL,11/17/17,3/12/18,fly,alive,1,EH,321,436,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,12/14/17,1/1/18,cynipid,alive,16,IC,348,366,27.18462,-81.35211,2017
Archbold biological station,A. lanigera,asexual,Qg,FL,11/17/17,5/14/18,synergist,dead,1,EH,321,499,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,4/2/18,synergist,alive,11,EH,348,457,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,11/17/17,12/29/17,cynipid,dead,3,IC,321,363,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,11/17/17,1/29/18,cynipid,alive,1,LZ,321,394,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,11/17/17,1/29/18,cynipid,dead,2,LZ,321,394,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/20/18,cynipid,dead,5,EH,348,475,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,3/19/18,cynipid,alive,3,EH,348,443,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,12/14/17,1/4/18,cynipid,alive,7,LZ,348,369,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,12/17/17,2/12/18,cynipid,dead,2,LZ,351,408,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,5/7/18,cynipid,dead,2,EH,348,492,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/5/18,cynipid,alive,13,EH,348,460,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qv,FL,12/14/17,4/9/18,cynipid,alive,2,EH,348,464,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qv,FL,12/14/17,4/20/18,cynipid,dead,2,EH,348,475,27.18462,-81.35211,2017
Archbold biological station,A. atra,NA,Qg,FL,11/17/17,4/2/18,fly,dead,1,EH,321,457,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,4/5/18,synergist,dead,7,EH,348,460,27.18462,-81.35211,2017
Archbold biological station,A. atra,NA,Qg,FL,12/14/17,4/2/18,fly,dead,1,EH,348,457,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/30/18,cynipid,alive,1,EH,348,485,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/18/19,cynipid,dead,1,LZ,304,383,27.18462,-81.35211,2018
Archbold biological station,C. batatoides,asexual,Qv,FL,12/14/17,3/5/18,cynipid,alive,2,EH,348,429,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,11/17/17,1/11/18,cynipid,alive,1,LZ,321,376,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,3/29/18,cynipid,alive,7,EH,348,453,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,11/17/17,1/15/18,cynipid,alive,8,LZ,321,380,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,12/14/17,2/12/18,cynipid,alive,1,LZ,348,408,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/9/19,cynipid,alive,3,LZ,304,374,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,12/14/17,2/15/18,cynipid,alive,1,LZ,348,411,27.18462,-81.35211,2017
Archbold biological station,A. lanigera,asexual,Qg,FL,11/17/17,3/14/18,cynipid,alive,2,EH,321,438,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/18/19,cynipid,alive,2,LZ,304,383,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/4/19,cynipid,alive,4,LZ,304,369,27.18462,-81.35211,2018
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,4/5/18,synergist,alive,3,EH,348,460,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,11/21/18,synergist,alive,1,SS,304,325,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/30/18,cynipid,dead,2,EH,348,485,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/2/18,cynipid,alive,13,EH,348,457,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,4/16/18,synergist,dead,5,EH,348,471,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,3/19/18,cynipid,dead,1,EH,348,443,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qv,FL,12/14/17,3/1/18,cynipid,alive,2,EH,348,425,27.18462,-81.35211,2017
Archbold biological station,C. batatoides,asexual,Qg,FL,12/14/17,3/15/18,cynipid,alive,1,EH,348,439,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,11/16/18,cynipid,alive,1,LZ,304,320,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,3/27/18,cynipid,alive,5,EH,348,451,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/2/18,cynipid,alive,16,EH,348,457,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/14/19,cynipid,alive,1,LZ,304,379,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/14/19,cynipid,dead,5,LZ,304,379,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,12/14/17,2/8/18,cynipid,alive,6,LZ,348,404,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,12/14/17,1/22/18,cynipid,alive,5,LZ,348,387,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/20/18,cynipid,alive,7,EH,348,475,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/31/18,cynipid,alive,4,LZ,304,365,27.18462,-81.35211,2018
Archbold biological station,C. batatoides,asexual,Qg,FL,12/17/17,3/29/18,cynipid,dead,1,EH,351,453,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/10/18,cynipid,alive,1,CD,304,344,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/28/18,cynipid,alive,2,LZ,304,362,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/7/19,cynipid,alive,4,LZ,304,372,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,12/14/17,1/22/18,cynipid,dead,1,LZ,348,387,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qv,FL,12/14/17,3/29/18,cynipid,alive,3,EH,348,453,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/16/18,cynipid,dead,3,EH,348,471,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/14/19,cynipid,alive,1,LZ,304,379,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/9/18,cynipid,dead,5,EH,348,464,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/2/19,cynipid,alive,3,LZ,304,367,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/14/18,cynipid,alive,1,LZ,304,348,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/23/18,cynipid,dead,1,EH,348,478,27.18462,-81.35211,2017
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,3/12/18,cynipid,alive,1,EH,348,436,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/10/18,cynipid,alive,1,CD,304,344,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qv,FL,12/14/17,4/20/18,cynipid,alive,1,EH,348,475,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/7/19,cynipid,dead,1,LZ,304,372,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/26/18,cynipid,alive,1,EH,348,481,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/28/18,cynipid,alive,2,LZ,304,362,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,3/29/18,cynipid,alive,2,EH,348,453,27.18462,-81.35211,2017
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/11/19,cynipid,alive,3,LZ,304,376,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/10/18,cynipid,dead,1,CD,304,344,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,1/9/19,cynipid,dead,2,LZ,304,374,27.18462,-81.35211,2018
Archbold biological station,D. q. virens,asexual,Qg,FL,10/31/18,12/14/18,cynipid,alive,3,LZ,304,348,27.18462,-81.35211,2018
Archbold biological station,A. foliatus,asexual,Qg,FL,12/14/17,4/12/18,cynipid,dead,3,EH,348,467,27.18462,-81.35211,2017
